698, 3, 143, 5, 44, 80, 58
 268, 2, 928, 8, 53, 86, 23
 549, 4, 158, 16, 56, 145, 46
 89, 2, 797, 8, 40, 114, 8
 755, 2, 699, 18, 37, 52, 63
 637, 1, 512, 13, 83, 113, 53
 240, 2, 249, 3, 24, 115, 20
 779, 4, 46, 4, 69, 93, 65
 424, 2, 668, 17, 79, 59, 35
 59, 2, 571, 16, 83, 128, 5
 325, 2, 411, 7, 64, 103, 27
 231, 1, 276, 12, 73, 56, 20
 231, 5, 696, 20, 48, 81, 20
 400, 2, 479, 13, 42, 130, 33
 744, 2, 434, 14, 85, 83, 62
 829, 4, 723, 18, 36, 56, 69
 297, 5, 838, 12, 27, 57, 25
 602, 3, 298, 20, 99, 98, 50
 716, 5, 582, 5, 86, 79, 60
 620, 3, 406, 16, 59, 91, 52
 704, 2, 273, 11, 51, 90, 59
 789, 3, 710, 11, 31, 101, 66
 934, 3, 322, 17, 56, 90, 78
 946, 3, 248, 11, 42, 116, 79
 501, 4, 584, 6, 98, 104, 42
 759, 2, 291, 19, 73, 131, 63
 526, 2, 272, 19, 57, 84, 44
 310, 1, 627, 11, 44, 142, 26
 218, 3, 136, 3, 37, 80, 18
 355, 5, 570, 17, 81, 128, 30
 813, 4, 86, 10, 68, 60, 68
 161, 5, 720, 12, 60, 150, 14
 560, 5, 302, 18, 32, 73, 47
 763, 1, 992, 11, 60, 146, 63
 284, 2, 547, 8, 21, 115, 24
 85, 5, 582, 5, 92, 109, 8
 378, 4, 233, 18, 65, 119, 32
 886, 3, 300, 19, 23, 83, 74
 588, 3, 657, 20, 64, 68, 49
 266, 5, 456, 3, 72, 142, 22
 360, 4, 450, 18, 31, 136, 30
 815, 5, 130, 15, 89, 82, 68
 105, 2, 677, 3, 31, 141, 9
 241, 4, 914, 10, 56, 126, 20
 961, 1, 674, 14, 42, 139, 80
 331, 2, 745, 11, 65, 118, 28
 437, 4, 591, 4, 62, 76, 37
 434, 3, 356, 16, 76, 110, 36
 586, 3, 796, 18, 95, 119, 49
 982, 1, 789, 16, 23, 124, 82
 171, 2, 829, 3, 45, 61, 15
 831, 1, 884, 19, 73, 133, 69
 605, 3, 29, 2, 95, 107, 50
 787, 3, 886, 5, 91, 112, 65
 254, 3, 237, 5, 27, 58, 21
 245, 5, 94, 14, 81, 104, 21
 822, 5, 172, 14, 43, 68, 68
